DesignInFile,mainFeature,targetLibrary,techFeature,techSubFeature,process,VTfeature,techModel,thresModel,voltage,temperature,period,mapped.area-Number of ports,mapped.area-Number of cells,mapped.area-Number of combinational cells,mapped.area-Number of sequential cells,mapped.area-Number of macros/black boxes,mapped.area-Number of buf/inv,mapped.area-Number of references,mapped.area-Combinational area,mapped.area-Buf/Inv area,mapped.area-Noncombinational area,mapped.area-Macro/Black Box area,mapped.area-Net Interconnect area,mapped.area-Total cell area,mapped.area-Total area,mapped.power-Cell Internal Power,mapped.power-Net Switching Power,mapped.power-Total Dynamic Power,mapped.power-Total,mapped.power-Cell Leakage Power,mapped.power-io_pad,mapped.power-memory,mapped.power-black_box,mapped.power-clock_network,mapped.power-register,mapped.power-sequential,mapped.power-combinational,mapped.timing-data arrival time,mapped.timing-data required time,mapped.timing-slack
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_194903,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,980,2956,2634,313,0,547,34,1130.037995,120.147998,490.783987,0.000000,,1620.821982,,1.7243,107.2751,1.8316,1.8329,1.3214,0.0000,0.0000,0.0000,0.0000,1.6140,0.0000,0.2189,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_060232,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1114,3135,2820,302,0,629,41,1177.371993,149.057998,473.535988,0.000000,,1650.907981,,1.6920,119.2376,1.8113,1.8126,1.2823,0.0000,0.0000,0.0000,0.0000,1.5571,0.0000,0.2554,-0.77,0.79,0.03
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_011232,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,913,2905,2539,358,0,359,34,1150.127992,83.201999,561.343985,0.000000,,1711.471978,,1.9611,112.9479,2.0741,2.0753,1.2803,0.0000,0.0000,0.0000,0.0000,1.8459,0.0000,0.2294,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_124207,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,4382,3415,957,0,466,30,1599.261996,94.275998,1500.575961,0.000000,,3099.837956,,5.0226,331.3169,5.3539,5.3565,2.5576,0.0000,0.0000,0.0000,0.0000,4.8245,0.0000,0.5320,-0.71,0.79,0.08
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_080913,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1114,3838,3378,447,0,605,40,1445.107994,131.613998,700.895982,0.000000,,2146.003975,,2.4245,127.7186,2.5522,2.5539,1.7071,0.0000,0.0000,0.0000,0.0000,2.3048,0.0000,0.2491,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_132947,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,923,5050,3694,1348,0,423,29,1907.373996,86.533998,2113.663945,0.000000,,4021.037941,,7.0203,384.8913,7.4052,7.4085,3.3430,0.0000,0.0000,0.0000,0.0000,6.7840,0.0000,0.6246,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_085321,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,852,8279,6629,1643,0,671,43,3231.941981,132.985997,2576.223933,0.000000,,5808.165914,,8.8674,385.8125,9.2533,9.2578,4.6663,0.0000,0.0000,0.0000,0.0000,8.5263,0.0000,0.7315,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_202935,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,980,6605,5484,1111,0,615,38,2581.319983,139.943998,1742.047954,0.000000,,4323.367937,,5.9342,195.3782,6.1295,6.1328,3.2798,0.0000,0.0000,0.0000,0.0000,5.7284,0.0000,0.4044,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_213540,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,9027,7095,1921,0,943,38,3365.319989,188.747995,3012.127921,0.000000,,6377.447910,,10.1054,448.6019,10.5540,10.5591,5.1230,0.0000,0.0000,0.0000,0.0000,9.7948,0.0000,0.7643,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_125439,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,925,6049,4562,1479,0,623,27,2163.741990,126.615997,2319.071939,0.000000,,4482.813930,,7.5963,374.5070,7.9708,7.9746,3.7655,0.0000,0.0000,0.0000,0.0000,7.3648,0.0000,0.6098,-0.63,0.79,0.16
