DesignInFile,mainFeature,targetLibrary,techFeature,techSubFeature,process,VTfeature,techModel,thresModel,voltage,temperature,period,mapped.area-Number of ports,mapped.area-Number of cells,mapped.area-Number of combinational cells,mapped.area-Number of sequential cells,mapped.area-Number of macros/black boxes,mapped.area-Number of buf/inv,mapped.area-Number of references,mapped.area-Combinational area,mapped.area-Buf/Inv area,mapped.area-Noncombinational area,mapped.area-Macro/Black Box area,mapped.area-Net Interconnect area,mapped.area-Total cell area,mapped.area-Total area,mapped.power-Cell Internal Power,mapped.power-Net Switching Power,mapped.power-Total Dynamic Power,mapped.power-Total,mapped.power-Cell Leakage Power,mapped.power-io_pad,mapped.power-memory,mapped.power-black_box,mapped.power-clock_network,mapped.power-register,mapped.power-sequential,mapped.power-combinational,mapped.timing-data arrival time,mapped.timing-data required time,mapped.timing-slack
Router_Hw_Router_Hw_190402_220903,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,2146,6224,5137,1072,0,585,37,2666.775999,114.757997,1680.895956,0.000000,,4347.671955,,5.7277,377.6305,6.1053,6.1091,3.7764,0.0000,0.0000,0.0000,0.0000,5.3740,0.0000,0.7351,-0.70,0.79,0.09
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121154,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1124,4706,3477,1217,0,473,31,1796.045998,102.703998,1908.255950,0.000000,,3704.301948,,6.3501,380.3859,6.7305,6.7336,3.0973,0.0000,0.0000,0.0000,0.0000,6.1098,0.0000,0.6237,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120804,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,4744,3517,1217,0,528,30,1750.573999,113.189998,1908.255950,0.000000,,3658.829949,,6.3381,372.4114,6.7105,6.7136,3.0933,0.0000,0.0000,0.0000,0.0000,6.1088,0.0000,0.6048,-0.77,0.79,0.01
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115352,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,921,3417,2714,695,0,548,29,1259.593996,109.465997,1089.759971,0.000000,,2349.353968,,3.7171,313.8414,4.0309,4.0329,1.9451,0.0000,0.0000,0.0000,0.0000,3.5443,0.0000,0.4886,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121248,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,858,5810,4330,1473,0,670,28,2073.385992,135.631997,2309.663940,0.000000,,4383.049931,,7.5647,372.8433,7.9376,7.9413,3.6722,0.0000,0.0000,0.0000,0.0000,7.3334,0.0000,0.6079,-0.63,0.79,0.16
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115139,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1187,2662,2219,429,0,332,30,1105.145991,78.595999,672.671982,0.000000,,1777.817973,,2.5071,260.6108,2.7677,2.7693,1.5526,0.0000,0.0000,0.0000,0.0000,2.2458,0.0000,0.5234,-0.79,0.79,0.00
Router_Hw_Router_Hw_190402_221458,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1410,32393,25833,6376,0,1414,40,13109.459980,289.981993,9997.567739,0.000000,,23107.027719,,33.6301,825.6054,34.4557,34.4755,17.5958,0.0000,0.0000,0.0000,0.0000,32.8764,0.0000,1.5991,-0.77,0.79,0.02
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114852,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1053,2703,2262,429,0,389,32,1061.045992,89.669999,672.671982,0.000000,,1733.717974,,2.4997,259.0198,2.7587,2.7602,1.5511,0.0000,0.0000,0.0000,0.0000,2.2571,0.0000,0.5031,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115815,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1189,3520,2811,695,0,630,29,1343.873995,138.179998,1089.759971,0.000000,,2433.633967,,3.7444,327.0320,4.0715,4.0734,1.9930,0.0000,0.0000,0.0000,0.0000,3.5456,0.0000,0.5278,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190402_220538,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1234,1322,1226,56,0,407,48,600.837999,96.235999,87.807998,0.000000,,688.645997,,370.3007,60.6376,430.9383,0.4315,524.5806,0.0000,0.0000,0.0000,0.0000,0.2894,0.0000,0.1421,-0.07,0.79,0.72
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114208,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1047,2285,2115,159,0,503,30,867.887994,118.089998,249.311993,0.000000,,1117.199988,,943.0094,102.9521,1.0460,1.0468,879.3491,0.0000,0.0000,0.0000,0.0000,0.8202,0.0000,0.2266,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122037,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,913,2024,1862,153,0,444,27,774.591996,100.155998,239.903994,0.000000,,1014.495990,,890.0079,94.2254,984.2333,0.9850,758.9174,0.0000,0.0000,0.0000,0.0000,0.7891,0.0000,0.1959,-0.74,0.79,0.05
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122658,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114730,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,919,2568,2131,429,0,258,31,1022.923992,51.449999,672.671982,0.000000,,1695.595974,,2.4831,252.4854,2.7356,2.7371,1.5071,0.0000,0.0000,0.0000,0.0000,2.2570,0.0000,0.4800,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190402_220103,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1034,13256,10840,2380,0,1114,48,5203.309979,233.827995,3731.839902,0.000000,,8935.149881,,12.5627,323.8253,12.8866,12.8934,7.0484,0.0000,0.0000,0.0000,0.0000,12.2709,0.0000,0.6225,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_103543,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,913,2016,1849,159,0,375,28,785.077996,86.631999,249.311993,0.000000,,1034.389989,,913.6437,83.5803,997.2241,0.9980,801.5640,0.0000,0.0000,0.0000,0.0000,0.8203,0.0000,0.1778,-0.77,0.79,0.01
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115941,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,923,4146,3186,951,0,581,30,1511.551997,122.989997,1491.167961,0.000000,,3002.719958,,5.0047,330.5967,5.3353,5.3378,2.4839,0.0000,0.0000,0.0000,0.0000,4.7932,0.0000,0.5446,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122001,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,846,1953,1793,153,0,440,29,754.403996,99.175998,239.903994,0.000000,,994.307990,,890.4225,92.0351,982.4576,0.9832,748.3850,0.0000,0.0000,0.0000,0.0000,0.7891,0.0000,0.1941,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122802,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121552,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1059,6184,4693,1479,0,754,29,2202.059990,164.835997,2319.071939,0.000000,,4521.131930,,7.6120,380.3766,7.9924,7.9962,3.8104,0.0000,0.0000,0.0000,0.0000,7.3653,0.0000,0.6309,-0.62,0.79,0.17
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122348,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1047,2295,2125,159,0,446,30,870.533994,100.841998,249.311993,0.000000,,1119.845988,,934.1404,99.9442,1.0341,1.0350,871.2963,0.0000,0.0000,0.0000,0.0000,0.8200,0.0000,0.2149,-0.73,0.79,0.06
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115132,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1120,2593,2152,429,0,265,31,1085.839991,59.191999,672.671982,0.000000,,1758.511973,,2.5005,257.9816,2.7585,2.7600,1.5305,0.0000,0.0000,0.0000,0.0000,2.2463,0.0000,0.5137,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122636,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,852,2335,1905,423,0,311,28,935.409993,61.935998,663.263983,0.000000,,1598.673976,,,,,,,,,,,,,,-0.79,0.79,0.00
Router_Hw_Router_Hw_190402_221524,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1410,5420,5044,192,0,864,28,2156.490008,169.343996,301.055992,0.000000,,2457.546000,,1.1086,150.3200,1.2590,1.2608,1.7994,0.0000,0.0000,0.0000,0.0000,0.9899,0.0000,0.2708,-0.07,0.79,0.72
Dedicated_PE_Hw_Dedicated_PE_Hw_190402_220254,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1098,13422,11018,2384,0,1176,54,5269.753978,248.037995,3738.111902,0.000000,,9007.865881,,12.5876,328.2247,12.9158,12.9228,7.1159,0.0000,0.0000,0.0000,0.0000,12.2919,0.0000,0.6309,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122547,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1114,2225,2054,159,0,340,29,907.381994,79.967999,249.311993,0.000000,,1156.693987,,924.7468,97.6696,1.0224,1.0233,847.8470,0.0000,0.0000,0.0000,0.0000,0.8202,0.0000,0.2031,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115809,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1122,3451,2744,695,0,563,29,1324.273995,118.677998,1089.759971,0.000000,,2414.033967,,3.7362,323.4116,4.0596,4.0616,1.9702,0.0000,0.0000,0.0000,0.0000,3.5456,0.0000,0.5160,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115031,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1120,2911,2469,429,0,462,31,1127.097990,104.369998,672.671982,0.000000,,1799.769973,,2.5237,276.3168,2.8000,2.8016,1.6098,0.0000,0.0000,0.0000,0.0000,2.2692,0.0000,0.5324,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121905,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1126,6077,4586,1479,0,633,29,2227.539989,134.749997,2319.071939,0.000000,,4546.611929,,7.6162,383.8743,8.0001,8.0039,3.7906,0.0000,0.0000,0.0000,0.0000,7.3663,0.0000,0.6376,-0.62,0.79,0.17
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120501,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1191,4408,3437,957,0,539,29,1662.471995,121.127998,1500.575961,0.000000,,3163.047955,,5.0503,341.1021,5.3914,5.3940,2.5943,0.0000,0.0000,0.0000,0.0000,4.8254,0.0000,0.5685,-0.76,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114528,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1181,2288,2115,159,0,466,30,923.159994,116.913999,249.311993,0.000000,,1172.471988,,933.5798,100.1473,1.0337,1.0346,873.6586,0.0000,0.0000,0.0000,0.0000,0.8201,0.0000,0.2145,-0.74,0.79,0.05
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120412,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1057,4273,3306,957,0,408,29,1624.153995,82.907998,1500.575961,0.000000,,3124.729955,,5.0326,333.6577,5.3663,5.3688,2.5497,0.0000,0.0000,0.0000,0.0000,4.8254,0.0000,0.5434,-0.70,0.79,0.09
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122755,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121428,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,925,6049,4562,1479,0,623,27,2163.741990,126.615997,2319.071939,0.000000,,4482.813930,,7.5963,374.5070,7.9708,7.9746,3.7655,0.0000,0.0000,0.0000,0.0000,7.3648,0.0000,0.6098,-0.63,0.79,0.16
